id	name	bpm	artist	duration_ms	external_url
3sfxRo67EdxWOS9STSP2CA	Up a Lazy River	99.38	Gelber & Manning	177240	https://open.spotify.com/track/3sfxRo67EdxWOS9STSP2CA
4C3suKORDPAZyJcgsxmJ45	Music to Love By - 2014 Remastered Version	83.35	Jack Teagarden	134600	https://open.spotify.com/track/4C3suKORDPAZyJcgsxmJ45
73fB3cgTf2Lu3m9Pmn7xBn	Memories of You (Live)	86.13	Benny Goodman	207638	https://open.spotify.com/track/73fB3cgTf2Lu3m9Pmn7xBn
6bLy8YiVKRpUzwWZG6lVDq	Autumn Leaves	0.0	Eric Clapton	340786	https://open.spotify.com/track/6bLy8YiVKRpUzwWZG6lVDq
0qEJixOtVnhqaUxqh1F3zt	Autumn Leaves	0.0	Karrin Allyson	283853	https://open.spotify.com/track/0qEJixOtVnhqaUxqh1F3zt
44Nc7KFreqNr7RoeRb6UW6	Sweet Slumber	0.0	Lucky Millinder	195506	https://open.spotify.com/track/44Nc7KFreqNr7RoeRb6UW6
6TKN2CoZ2jc9E9XeKgQ3JA	Vi tar in på hotell	198.77	Bo Kaspers Orkester	186733	https://open.spotify.com/track/6TKN2CoZ2jc9E9XeKgQ3JA
2QdICZWzBG2UknjQ7ymHLU	Bill	0.0	Kern	158293	https://open.spotify.com/track/2QdICZWzBG2UknjQ7ymHLU
1aU0a8dUMB1Qi0A3gGlb0L	If	80.75	Kat Edmonson	188853	https://open.spotify.com/track/1aU0a8dUMB1Qi0A3gGlb0L
7BHeKUfuCIDYG0dOewz1aM	Canoe	112.35	Kat Edmonson	180986	https://open.spotify.com/track/7BHeKUfuCIDYG0dOewz1aM
2eR6M1S3fArShxKYoBSPiq	How's About It Baby	112.35	Kat Edmonson	191906	https://open.spotify.com/track/2eR6M1S3fArShxKYoBSPiq
6dpkzJxRZvuDv5NINtvDva	Prisoner of Love	0.0	Lena Horne	203259	https://open.spotify.com/track/6dpkzJxRZvuDv5NINtvDva
170wtCdrvuqAf2cZU7hrSg	Hang on little tomato	0.0	Pink Martini	196893	https://open.spotify.com/track/170wtCdrvuqAf2cZU7hrSg
05kXmur7fWgwTkf1choNag	Mister New Orleans Blues Inedit	78.30	Maxim Saury	423080	https://open.spotify.com/track/05kXmur7fWgwTkf1choNag
