id	name	bpm	artist	duration_ms	external_url	
4PN5gbJNYWx9yQ6hJepPbG	Summertime	83.35	Sidney Bechet	252266	https://open.spotify.com/track/4PN5gbJNYWx9yQ6hJepPbG	
4BB6RXDwfbsIQZVRohSjsU	Où Es Tu Mon Amour	83.35	Charlie Haden Quartet West	403733	https://open.spotify.com/track/4BB6RXDwfbsIQZVRohSjsU	
73t5D72QhEs05Iyr4Or9UH	Si tu vois ma mère	86.13	The Bailsmen	187746	https://open.spotify.com/track/73t5D72QhEs05Iyr4Or9UH	
6ypNrzYXMldo8KJ6doahak	My Aphrodisiac Is You	86.13	Katie Melua	214840	https://open.spotify.com/track/6ypNrzYXMldo8KJ6doahak	
7FC3IgTd2OC0Op9BGbolL2	Mood To Be Wooed - Rematered - 1995	86.13	Johnny Hodges	178960	https://open.spotify.com/track/7FC3IgTd2OC0Op9BGbolL2	
5ppaSKK1UCqe4s9fL9T8Nu	Wabash Blues	86.13	Sidney Bechet	185173	https://open.spotify.com/track/5ppaSKK1UCqe4s9fL9T8Nu	
5v5cyQcrnRLGwo5WLVl8ag	Mighty Like the Blues	86.13	Lou Hurst	165960	https://open.spotify.com/track/5v5cyQcrnRLGwo5WLVl8ag	
73fB3cgTf2Lu3m9Pmn7xBn	Memories of You (Live)	86.13	Benny Goodman	207638	https://open.spotify.com/track/73fB3cgTf2Lu3m9Pmn7xBn	
3pcysfjlnwm9fMKKHN01BZ	My Kinda Love - 2002 - Remastered; 24 Bit Mastering	86.13	Kay Starr	160733	https://open.spotify.com/track/3pcysfjlnwm9fMKKHN01BZ	
0IfB1833fLwOR4OkrEGIq6	On The Sunny Side Of the Street - From the short subject Jammin' The Blues (WB, 1944)	89.1	Jimmy McHugh	188026	https://open.spotify.com/track/0IfB1833fLwOR4OkrEGIq6	
05rQYWtIEzFHIZlPkc1SXO	Meet Me Where They Play the Blues - 2014 Remastered Version	89.1	Jack Teagarden	229360	https://open.spotify.com/track/05rQYWtIEzFHIZlPkc1SXO	
6m4Y2v15lYtuidmZuYg6JA	East St. Louis Toodle-oo	89.1	The Solomon Douglas Swingtet	194160	https://open.spotify.com/track/6m4Y2v15lYtuidmZuYg6JA	
2FcyKVtFO1di32rIgeo5zg	Body And Soul	89.1	Benny Goodman	192800	https://open.spotify.com/track/2FcyKVtFO1di32rIgeo5zg	
5BshzvsigL1rsb2YAD2Q86	I Don't Want To Set The World On Fire	89.1	Preservation Hall Jazz Band	190880	https://open.spotify.com/track/5BshzvsigL1rsb2YAD2Q86	
4wKBgfRjc3KRfb2iC7sfb9	Black And Blue	89.1	Sidney Bechet	216826	https://open.spotify.com/track/4wKBgfRjc3KRfb2iC7sfb9	
4xP9rjS2iT1ANZPDKPTAgR	Dream A Little Dream Of Me	91.3	Ella Fitzgerald	187466	https://open.spotify.com/track/4xP9rjS2iT1ANZPDKPTAgR	
0CmOn2UrSYH5BJD7vZESrK	Southern Exposure (05-01-41)	92.29	Buddy Johnson	193800	https://open.spotify.com/track/0CmOn2UrSYH5BJD7vZESrK	
1YpAtnRx4CWuD8WnRElLOd	Nevertheless	92.29	The Big Band Trio	203133	https://open.spotify.com/track/1YpAtnRx4CWuD8WnRElLOd	
62CuEoJqL7GLauOpnitTUp	The Same Old Love	92.29	Peoria Jazzband	270173	https://open.spotify.com/track/62CuEoJqL7GLauOpnitTUp	
1iqYqVkzPJAQ6Kgc0Kn2I5	Beyond The Sea (La Mer)	95	Django Reinhardt	256000	https://open.spotify.com/track/1iqYqVkzPJAQ6Kgc0Kn2I5	
5WKh3djMTEoyhad2PwIoEb	I Thought I Heard Buddy Bolden Say	95.7	Bridgetown Sextet	307432	https://open.spotify.com/track/5WKh3djMTEoyhad2PwIoEb	
3K9r4PHhxpoEEbwhfxuJ0d	Manoir de mes rêves	95.7	Django Reinhardt	199573	https://open.spotify.com/track/3K9r4PHhxpoEEbwhfxuJ0d	
